PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=126 ttl=115 time=49.7 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=115 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=115 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=115 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=115 time=11.7 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=115 time=15.3 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=115 time=18.5 ms
64 bytes from 8.8.8.8: icmp_seq=133 ttl=115 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=134 ttl=115 time=39.8 ms
64 bytes from 8.8.8.8: icmp_seq=135 ttl=115 time=13.6 ms
64 bytes from 8.8.8.8: icmp_seq=136 ttl=115 time=11.7 ms
64 bytes from 8.8.8.8: icmp_seq=137 ttl=115 time=14.7 ms
64 bytes from 8.8.8.8: icmp_seq=138 ttl=115 time=18.1 ms
64 bytes from 8.8.8.8: icmp_seq=139 ttl=115 time=16.6 ms
64 bytes from 8.8.8.8: icmp_seq=140 ttl=115 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=141 ttl=115 time=73.5 ms
64 bytes from 8.8.8.8: icmp_seq=142 ttl=115 time=256 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=115 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=115 time=14.2 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=115 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=115 time=20.6 ms
64 bytes from 8.8.8.8: icmp_seq=147 ttl=115 time=38.8 ms
64 bytes from 8.8.8.8: icmp_seq=148 ttl=115 time=17.5 ms
64 bytes from 8.8.8.8: icmp_seq=149 ttl=115 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=150 ttl=115 time=15.1 ms
64 bytes from 8.8.8.8: icmp_seq=151 ttl=115 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=152 ttl=115 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=153 ttl=115 time=19.6 ms
64 bytes from 8.8.8.8: icmp_seq=154 ttl=115 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=155 ttl=115 time=15.7 ms
64 bytes from 8.8.8.8: icmp_seq=156 ttl=115 time=13.7 ms
64 bytes from 8.8.8.8: icmp_seq=157 ttl=115 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=158 ttl=115 time=40.3 ms
64 bytes from 8.8.8.8: icmp_seq=159 ttl=115 time=78.7 ms
64 bytes from 8.8.8.8: icmp_seq=160 ttl=115 time=11.7 ms
64 bytes from 8.8.8.8: icmp_seq=161 ttl=115 time=14.6 ms
64 bytes from 8.8.8.8: icmp_seq=162 ttl=115 time=17.6 ms
64 bytes from 8.8.8.8: icmp_seq=163 ttl=115 time=16.1 ms
64 bytes from 8.8.8.8: icmp_seq=164 ttl=115 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=165 ttl=115 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=166 ttl=115 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=167 ttl=115 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=168 ttl=115 time=13.2 ms
