nummer,actie,resultaat,reactietijd_ms,response
182,uit,succes,40.56,[{'success': {'/lights/1/state/on': False}}]
183,aan,succes,56.73,[{'success': {'/lights/1/state/on': True}}]
184,uit,succes,45.28,[{'success': {'/lights/1/state/on': False}}]
185,aan,succes,63.84,[{'success': {'/lights/1/state/on': True}}]
186,uit,succes,56.25,[{'success': {'/lights/1/state/on': False}}]
187,aan,succes,55.99,[{'success': {'/lights/1/state/on': True}}]
188,uit,succes,65.66,[{'success': {'/lights/1/state/on': False}}]
189,aan,succes,40.98,[{'success': {'/lights/1/state/on': True}}]
190,uit,succes,52.04,[{'success': {'/lights/1/state/on': False}}]
191,aan,succes,75.66,[{'success': {'/lights/1/state/on': True}}]
192,uit,succes,47.2,[{'success': {'/lights/1/state/on': False}}]
193,aan,succes,46.51,[{'success': {'/lights/1/state/on': True}}]
194,uit,succes,72.79,[{'success': {'/lights/1/state/on': False}}]
195,aan,succes,55.46,[{'success': {'/lights/1/state/on': True}}]
196,uit,succes,63.22,[{'success': {'/lights/1/state/on': False}}]
197,aan,succes,55.98,[{'success': {'/lights/1/state/on': True}}]
198,uit,succes,64.62,[{'success': {'/lights/1/state/on': False}}]
199,aan,succes,69.97,[{'success': {'/lights/1/state/on': True}}]
200,uit,succes,60.66,[{'success': {'/lights/1/state/on': False}}]
