nummer,actie,resultaat,reactietijd_ms,response
163,aan,succes,63.4,[{'success': {'/lights/1/state/on': True}}]
164,uit,succes,63.38,[{'success': {'/lights/1/state/on': False}}]
165,aan,succes,75.26,[{'success': {'/lights/1/state/on': True}}]
166,uit,succes,70.18,[{'success': {'/lights/1/state/on': False}}]
167,aan,succes,41.98,[{'success': {'/lights/1/state/on': True}}]
168,uit,succes,51.48,[{'success': {'/lights/1/state/on': False}}]
169,aan,succes,51.34,[{'success': {'/lights/1/state/on': True}}]
170,uit,succes,62.35,[{'success': {'/lights/1/state/on': False}}]
171,aan,succes,64.33,[{'success': {'/lights/1/state/on': True}}]
172,uit,succes,70.19,[{'success': {'/lights/1/state/on': False}}]
173,aan,succes,56.34,[{'success': {'/lights/1/state/on': True}}]
174,uit,succes,53.01,[{'success': {'/lights/1/state/on': False}}]
175,aan,succes,62.06,[{'success': {'/lights/1/state/on': True}}]
176,uit,succes,50.05,[{'success': {'/lights/1/state/on': False}}]
177,aan,succes,55.58,[{'success': {'/lights/1/state/on': True}}]
178,uit,succes,41.41,[{'success': {'/lights/1/state/on': False}}]
179,aan,succes,58.23,[{'success': {'/lights/1/state/on': True}}]
180,uit,succes,60.66,[{'success': {'/lights/1/state/on': False}}]
181,aan,succes,56.65,[{'success': {'/lights/1/state/on': True}}]
182,uit,succes,30.52,[{'success': {'/lights/1/state/on': False}}]
183,aan,succes,33.11,[{'success': {'/lights/1/state/on': True}}]
184,uit,succes,51.37,[{'success': {'/lights/1/state/on': False}}]
185,aan,succes,35.04,[{'success': {'/lights/1/state/on': True}}]
186,uit,succes,54.32,[{'success': {'/lights/1/state/on': False}}]
187,aan,succes,53.86,[{'success': {'/lights/1/state/on': True}}]
188,uit,succes,51.09,[{'success': {'/lights/1/state/on': False}}]
189,aan,succes,58.07,[{'success': {'/lights/1/state/on': True}}]
190,uit,succes,46.62,[{'success': {'/lights/1/state/on': False}}]
191,aan,succes,64.7,[{'success': {'/lights/1/state/on': True}}]
192,uit,succes,50.83,[{'success': {'/lights/1/state/on': False}}]
193,aan,succes,48.42,[{'success': {'/lights/1/state/on': True}}]
194,uit,succes,52.72,[{'success': {'/lights/1/state/on': False}}]
195,aan,succes,43.65,[{'success': {'/lights/1/state/on': True}}]
196,uit,succes,49.12,[{'success': {'/lights/1/state/on': False}}]
197,aan,succes,66.03,[{'success': {'/lights/1/state/on': True}}]
198,uit,succes,36.96,[{'success': {'/lights/1/state/on': False}}]
199,aan,succes,57.62,[{'success': {'/lights/1/state/on': True}}]
200,uit,succes,56.72,[{'success': {'/lights/1/state/on': False}}]
